ID,Species,ExperimentNo,Scenario,Treatment,Exposure.1,Exposure.2,endpoint.date,endpoint.code,Bd.endpoint.status,Bd.endpoint.CTmean,Bd.endpoint.Qmean,Rv.MCPendpoint.status,Rv.MCPendpoint.CTmean,Rv.MCPendpoint.Qmean,Rv.EBF3Nendpoint.status,Rv.EBF3Nendpoint.CTmean,Rv.EBF3Nendpoint.Qmean,EMA.YN,EMA.date,EMA.GE.EMA,EMA.GE.WS
T2,Rt,3,Single,Bd,bd,rvsham,10/07/2018,EU,Positive,41.46508789,0.021986999,Negative ,0,0,NA,NA,NA,1,05/07/2018,NA,NA
T3,Rt,3,Single,Bd,bd,rvsham,10/07/2018,EU,Negative ,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
T4,Rt,3,Single,Bd,bd,rvsham,10/07/2018,EU,Negative ,0,0,Negative ,0,0,NA,NA,NA,1,05/07/2018,NA,NA
T5,Rt,3,Single,Bd,bd,rvsham,10/07/2018,EU,Negative ,0,0,Negative ,0,0,NA,NA,NA,1,05/07/2018,NA,NA
T6,Rt,3,Single,Bd,bd,rvsham,10/07/2018,EU,Negative ,0,0,NA,NA,NA,NA,NA,NA,1,05/07/2018,NA,NA
T7,Rt,3,Single,Bd,bd,rvsham,10/07/2018,EU,Negative ,0,0,NA,NA,NA,NA,NA,NA,1,05/07/2018,NA,NA
T8,Rt,3,Single,Bd,bd,rvsham,10/07/2018,EU,Negative ,0,0,NA,NA,NA,NA,NA,NA,1,05/07/2018,NA,NA
T9,Rt,3,Single,Bd,bd,rvsham,10/07/2018,EU,Negative ,0,0,NA,NA,NA,NA,NA,NA,1,05/07/2018,NA,NA
T10,Rt,3,Single,Bd,bd,rvsham,10/07/2018,EU,Negative ,0,0,NA,NA,NA,NA,NA,NA,1,05/07/2018,NA,NA
T11,Rt,3,Single,Bd,bd,rvsham,10/07/2018,EU,Negative ,0,0,NA,NA,NA,NA,NA,NA,1,05/07/2018,NA,NA
